***************************************************************************************************** 
* WARNING: The 2022 software stack is deprecated. Please consider switching to
the latest 2024 * 
* software stack, or the older 2023 software stack. * 
* * 
* If you have any question, please contact us via
http://servicedesk.surfsara.nl. * 
***************************************************************************************************** 
OpenMP parallelism
Running with OMP_NUM_THREADS = 128
CPUS:  128
Starting the program...

Iteration 254; Population 249
Iteration 255; Population 255
Iteration 256; Population 256
Iteration 257; Population 267
Iteration 258; Population 230
Iteration 259; Population 257
Iteration 260; Population 244
Iteration 261; Population 254
Iteration 262; Population 267
Iteration 263; Population 277
Iteration 264; Population 272
Iteration 265; Population 295
Iteration 266; Population 285
Iteration 267; Population 261
Iteration 268; Population 281
Iteration 269; Population 293
Iteration 270; Population 295
Iteration 271; Population 272
Iteration 272; Population 282
Iteration 273; Population 261
Iteration 274; Population 258
Iteration 275; Population 254
Iteration 276; Population 261
Iteration 277; Population 258
Iteration 278; Population 241
Iteration 279; Population 242
Iteration 280; Population 243
Iteration 281; Population 220
Iteration 282; Population 226
Iteration 283; Population 220
Iteration 284; Population 229
Iteration 285; Population 224
Iteration 286; Population 231
Iteration 287; Population 210
Iteration 288; Population 234
Iteration 289; Population 221
Iteration 290; Population 228
Iteration 291; Population 210
Iteration 292; Population 221
Iteration 293; Population 200
Iteration 294; Population 217
Iteration 295; Population 192
Iteration 296; Population 221
Iteration 297; Population 205
Iteration 298; Population 212
Iteration 299; Population 227
Iteration 300; Population 216
Iteration 301; Population 228
Iteration 302; Population 222
Iteration 303; Population 228
Iteration 304; Population 216
Iteration 305; Population 228
Iteration 306; Population 214
Iteration 307; Population 220
Iteration 308; Population 217
Iteration 309; Population 208
Iteration 310; Population 210
Iteration 311; Population 199
Iteration 312; Population 204
Iteration 313; Population 182
Iteration 314; Population 186
Iteration 315; Population 180
Iteration 316; Population 184
Iteration 317; Population 193
Iteration 318; Population 182
Iteration 319; Population 194
Iteration 320; Population 194
Iteration 321; Population 199
Iteration 322; Population 196
Iteration 323; Population 195
Iteration 324; Population 209
Iteration 325; Population 215
Iteration 326; Population 210
Iteration 327; Population 202
Iteration 328; Population 197
Iteration 329; Population 203
Iteration 330; Population 202
Iteration 331; Population 209
Iteration 332; Population 210
Iteration 333; Population 210
Iteration 334; Population 215
Iteration 335; Population 202
Iteration 336; Population 218
Iteration 337; Population 219
Iteration 338; Population 233
Iteration 339; Population 209
Iteration 340; Population 220
Iteration 341; Population 202
Iteration 342; Population 208
Iteration 343; Population 199
Iteration 344; Population 213
Iteration 345; Population 210
Iteration 346; Population 223
Iteration 347; Population 235
Iteration 348; Population 233
Iteration 349; Population 254
Iteration 350; Population 246
Iteration 351; Population 240
Iteration 352; Population 239
Iteration 353; Population 238
Iteration 354; Population 217
Iteration 355; Population 233
Iteration 356; Population 222
Iteration 357; Population 236
Iteration 358; Population 239
Iteration 359; Population 251
Iteration 360; Population 235
Iteration 361; Population 257
Iteration 362; Population 250
Iteration 363; Population 254
Iteration 364; Population 251
Iteration 365; Population 276
Iteration 366; Population 268
Iteration 367; Population 287
Iteration 368; Population 292
Iteration 369; Population 320
Iteration 370; Population 294
Iteration 371; Population 291
Iteration 372; Population 304
Iteration 373; Population 305
Iteration 374; Population 319
Iteration 375; Population 298
Iteration 376; Population 316
Iteration 377; Population 305
Iteration 378; Population 307
Iteration 379; Population 285
Iteration 380; Population 292
Iteration 381; Population 277
Iteration 382; Population 273
Iteration 383; Population 258
Iteration 384; Population 271
Iteration 385; Population 271
Iteration 386; Population 271
Iteration 387; Population 280
Iteration 388; Population 303
Iteration 389; Population 304
Iteration 390; Population 280
Iteration 391; Population 282
Iteration 392; Population 272
Iteration 393; Population 280
Iteration 394; Population 257
Iteration 395; Population 287
Iteration 396; Population 261
Iteration 397; Population 271
Iteration 398; Population 290
Iteration 399; Population 278
Iteration 400; Population 279
Iteration 401; Population 300
Iteration 402; Population 302
Iteration 403; Population 309
Iteration 404; Population 282
Iteration 405; Population 275
Iteration 406; Population 305
Iteration 407; Population 282
Iteration 408; Population 301
Iteration 409; Population 302
Iteration 410; Population 296
Iteration 411; Population 296
Iteration 412; Population 299
Iteration 413; Population 319
Iteration 414; Population 299
Iteration 415; Population 309
Iteration 416; Population 322
Iteration 417; Population 340
Iteration 418; Population 336
Iteration 419; Population 350
Iteration 420; Population 351
Iteration 421; Population 380
Iteration 422; Population 366
Iteration 423; Population 384
Iteration 424; Population 387
Iteration 425; Population 370
Iteration 426; Population 394
Iteration 427; Population 347
Iteration 428; Population 341
Iteration 429; Population 312
Iteration 430; Population 304
Iteration 431; Population 291
Iteration 432; Population 305
Iteration 433; Population 310
Iteration 434; Population 318
Iteration 435; Population 304
Iteration 436; Population 335
Iteration 437; Population 307
Iteration 438; Population 310
Iteration 439; Population 291
Iteration 440; Population 329
Iteration 441; Population 315
Iteration 442; Population 339
Iteration 443; Population 362
Iteration 444; Population 344
Iteration 445; Population 347
Iteration 446; Population 345
Iteration 447; Population 359
Iteration 448; Population 362
Iteration 449; Population 380
Iteration 450; Population 365
Iteration 451; Population 379
Iteration 452; Population 343
Iteration 453; Population 345
Iteration 454; Population 348
Iteration 455; Population 350
Iteration 456; Population 338
Iteration 457; Population 360
Iteration 458; Population 364
Iteration 459; Population 371
Iteration 460; Population 387
Iteration 461; Population 408
Iteration 462; Population 383
Iteration 463; Population 405
Iteration 464; Population 391
Iteration 465; Population 382
Iteration 466; Population 374
Iteration 467; Population 372
Iteration 468; Population 366
Iteration 469; Population 358
Iteration 470; Population 366
Iteration 471; Population 334
Iteration 472; Population 339
Iteration 473; Population 325
Iteration 474; Population 348
Iteration 475; Population 316
Iteration 476; Population 337
Iteration 477; Population 338
Iteration 478; Population 340
Iteration 479; Population 346
Iteration 480; Population 331
Iteration 481; Population 337
Iteration 482; Population 324
Iteration 483; Population 319
Iteration 484; Population 320
Iteration 485; Population 316
Iteration 486; Population 303
Iteration 487; Population 316
Iteration 488; Population 310
Iteration 489; Population 307
Iteration 490; Population 322
Iteration 491; Population 317
Iteration 492; Population 314
Iteration 493; Population 306
Iteration 494; Population 312
Iteration 495; Population 324
Iteration 496; Population 327
Iteration 497; Population 330
Iteration 498; Population 304
Iteration 499; Population 310
Iteration 500; Population 314
Iteration 501; Population 309
Iteration 502; Population 311
Iteration 503; Population 324
Iteration 504; Population 316
Iteration 505; Population 330
Iteration 506; Population 325
Iteration 507; Population 328
Iteration 508; Population 325
Iteration 509; Population 336
Iteration 510; Population 329
Iteration 511; Population 330
Iteration 512; Population 314
Iteration 513; Population 327
Iteration 514; Population 306
Iteration 515; Population 328
Iteration 516; Population 327
Iteration 517; Population 333
Iteration 518; Population 340
Iteration 519; Population 321
Iteration 520; Population 334
Iteration 521; Population 340
Iteration 522; Population 349
Iteration 523; Population 344
Iteration 524; Population 339
Iteration 525; Population 320
Iteration 526; Population 339
Iteration 527; Population 329
Iteration 528; Population 337
Iteration 529; Population 338
Iteration 530; Population 335
Iteration 531; Population 341
Iteration 532; Population 341
Iteration 533; Population 336
Iteration 534; Population 327
Iteration 535; Population 312
Iteration 536; Population 327
Iteration 537; Population 315
Iteration 538; Population 321
Iteration 539; Population 320
Iteration 540; Population 332
Iteration 541; Population 327
Iteration 542; Population 334
Iteration 543; Population 363
Iteration 544; Population 350
Iteration 545; Population 352
Iteration 546; Population 352
Iteration 547; Population 359
Iteration 548; Population 332
Iteration 549; Population 331
Iteration 550; Population 311
Iteration 551; Population 316
Iteration 552; Population 305
Iteration 553; Population 318
Iteration 554; Population 319
Iteration 555; Population 337
Iteration 556; Population 317
Iteration 557; Population 339
Iteration 558; Population 322
Iteration 559; Population 337
Iteration 560; Population 326
Iteration 561; Population 330
Iteration 562; Population 309
Iteration 563; Population 318
Iteration 564; Population 322
Iteration 565; Population 329
Iteration 566; Population 316
Iteration 567; Population 301
Iteration 568; Population 305
Iteration 569; Population 303
Iteration 570; Population 308
Iteration 571; Population 305
Iteration 572; Population 329
Iteration 573; Population 305
Iteration 574; Population 322
Iteration 575; Population 309
Iteration 576; Population 297
Iteration 577; Population 300
Iteration 578; Population 300
Iteration 579; Population 299
Iteration 580; Population 309
Iteration 581; Population 316
Iteration 582; Population 310
Iteration 583; Population 329
Iteration 584; Population 327
Iteration 585; Population 324
Iteration 586; Population 322
Iteration 587; Population 327
Iteration 588; Population 333
Iteration 589; Population 346
Iteration 590; Population 345
Iteration 591; Population 366
Iteration 592; Population 354
Iteration 593; Population 371
Iteration 594; Population 327
Iteration 595; Population 335
Iteration 596; Population 333
Iteration 597; Population 334
Iteration 598; Population 332
Iteration 599; Population 341
Iteration 600; Population 340
Iteration 601; Population 323
Iteration 602; Population 315
Iteration 603; Population 331
Iteration 604; Population 337
Iteration 605; Population 362
Iteration 606; Population 351
Iteration 607; Population 371
Iteration 608; Population 369
Iteration 609; Population 385
Iteration 610; Population 386
Iteration 611; Population 384
Iteration 612; Population 396
Iteration 613; Population 391
Iteration 614; Population 403
Iteration 615; Population 385
Iteration 616; Population 416
Iteration 617; Population 421
Iteration 618; Population 415
Iteration 619; Population 383
Iteration 620; Population 393
Iteration 621; Population 386
Iteration 622; Population 396
Iteration 623; Population 387
Iteration 624; Population 379
Iteration 625; Population 381
Iteration 626; Population 383
Iteration 627; Population 392
Iteration 628; Population 392
Iteration 629; Population 406
Iteration 630; Population 396
Iteration 631; Population 385
Iteration 632; Population 401
